tweet_id,intent,confidence,language,top1_sim,is_repeat,reply,grounded_pair_ids,action,reason,latency_ms
2360438,account_access,0.9,en,0.9999998807907104,0,"Hi @AmazonHelp, sorry for the inconvenience. This is a security measure. Please review the instructions we sent to your email to unlock your account. If you don’t see it, check your spam folder.","[""2360438_2360440""]",escalate,account_specific_intent,19038.244700001087
1733867,delivery_late,0.95,en,1.000000238418579,0,Sorry to hear your 3 USPS orders are delayed. Please contact USPS for assistance. You can also view the tracking status on your Orders page.,"[""1733867_1733869""]",escalate,account_specific_intent,109.5546000287868
1188539,fraud_or_unauthorized,0.9,en,1.0,1,"We've forwarded your report to the relevant team for review. Thank you for flagging this. In the meantime, check your Orders page for any suspicious activity and let us know if you see anything else.","[""1188539_1188538""]",escalate,always_escalate:fraud_or_unauthorized,54.292600019834936
1203443,order_status,0.9,ja,1.0000001192092896,1,アプリを再起動またはキャッシュを消去してみてください。まだ問題が続く場合は、ご注文履歴ページでご確認いただき、必要に応じてカスタマーサービスへご連絡ください。,"[""1203443_1203442""]",escalate,unsupported_language:ja,64.95179998455569
180633,delivery_late,0.95,es,0.9999999403953552,1,"Lo siento por el retraso. Por favor revisa la página de Pedidos y el estado de seguimiento. Si el envío está retrasado, nuestro equipo está trabajando para resolverlo lo antes posible.","[""180633_180631"", ""215908_215907"", ""940467_940465"", ""1043710_1043712""]",escalate,unsupported_language:es,36.36550001101568
2242055,no_response_received,0.85,fr,0.9999998807907104,0,Vous pouvez consulter votre page Commandes pour voir si une facture est disponible ou contacter directement le vendeur via votre compte. Nous espérons que vous recevrez une réponse rapidement. Bonne soirée !,"[""2242055_2242057""]",escalate,unsupported_language:fr,84.72360001178458
2319726,no_action_needed,0.95,pt,1.0000003576278689,0,Olá! Muito obrigado pelo feedback. Estamos felizes por contribuir com sua coleção de marcadores. Continue acompanhando suas encomendas na página de Pedidos.,"[""2319726_2319725""]",escalate,unsupported_language:pt,39.45840004598722
2985490,account_access,0.88,en,1.000000238418579,1,"Hi, it looks like your account is on hold due to fraud. Please contact an Account Specialist for help. If you haven’t heard from them, reach out to us for real‑time assistance. Check your Orders page for any updates.","[""2985490_2985488"", ""2710415_2710414""]",escalate,account_specific_intent+repeat_contact,59.47350000496954
1408065,delivery_courier_issue,0.9,en,1.0,0,"Sorry about the delivery issue. Please check your Orders page for the carrier and tracking status, or let us know the carrier so we can follow up.","[""1408065_1408064"", ""2144486_2144483""]",escalate,account_specific_intent,256.4696000190452
2792012,other,0.45,en,1.0,0,We can't access your email via Twitter. Please check your Orders page or contact us through the official Amazon help page for assistance.,"[""2792012_2792011"", ""914845_914849"", ""779950_779951""]",escalate,is_other,43.10800001258031
172308,no_action_needed,0.95,es,0.9999999403953552,0,¡Con gusto! Esperamos que disfrutes tu ebook gratuito con tu nuevo Kindle. ¡Gracias por elegirnos!,"[""172308_172307""]",escalate,unsupported_language:es,48.23419998865575
